execution_date,video_id,views_delta,likes_delta,comments_delta,previous_views,current_views,previous_likes,current_likes,previous_comments,current_comments,is_new_video,title_changed,description_changed,tags_changed
2026-05-07T11:23:42.805421+00:00,mCc1oPC5f-8,36402,397,24,20382,56784,475,872,45,69,False,False,False,False
2026-05-07T11:23:42.805421+00:00,iSGdQjtChUk,454,26,2,336,790,25,51,18,20,False,False,False,False
2026-05-07T11:23:42.805421+00:00,5qdSXAozae4,429,21,-33,191,620,5,26,49,16,False,False,False,False
2026-05-07T11:23:42.805421+00:00,1buIx1jeQXg,740,26,-30,1299,2039,97,123,55,25,False,False,False,False
2026-05-07T11:23:42.805421+00:00,YK5lvBU6yLs,208,2,-28,351,559,21,23,50,22,False,False,False,False
2026-05-07T11:23:42.805421+00:00,3c9Oq8VyMpg,451,11,-27,1111,1562,56,67,98,71,False,False,False,False
2026-05-07T11:23:42.805421+00:00,7JMlkwMz58I,48323,1334,25,49586,97909,2728,4062,65,90,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Tqg-qojfcqA,1402,57,0,6377,7779,548,605,7,7,False,False,False,False
2026-05-07T11:23:42.805421+00:00,nm0rAOWyGtE,28121,661,13,6596,34717,322,983,7,20,False,False,False,False
2026-05-07T11:23:42.805421+00:00,R1Vs8Rnl1iY,3712,127,4,7151,10863,365,492,23,27,False,False,False,False
2026-05-07T11:23:42.805421+00:00,JDPom9Tnjc4,524336,12695,290,170961,695297,8629,21324,268,558,False,False,False,False
2026-05-07T11:23:42.805421+00:00,vp4XgAoKrUQ,56775,2503,46,28776,85551,1224,3727,34,80,False,False,False,False
2026-05-07T11:23:42.805421+00:00,KIL81oKLZTc,15595,411,19,54273,69868,2324,2735,106,125,False,False,False,False
2026-05-07T11:23:42.805421+00:00,mPHNIsDsJio,149361,1623,602,358203,507564,8267,9890,3683,4285,False,False,False,False
2026-05-07T11:23:42.805421+00:00,rFzeAb80DYg,3755,147,27,6074,9829,318,465,55,82,False,True,False,False
2026-05-07T11:23:42.805421+00:00,kIyN_WRhXJw,38,4,0,12,50,4,8,0,0,False,False,False,False
2026-05-07T11:23:42.805421+00:00,WMUsoJWxKVU,353,18,0,457,810,18,36,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,jv13-whpdgI,1950,122,3,505,2455,85,207,3,6,False,False,False,False
2026-05-07T11:23:42.805421+00:00,RtMUcQbG1_o,968,111,1,666,1634,72,183,2,3,False,False,False,False
2026-05-07T11:23:42.805421+00:00,qPikXaHU-jY,2005,232,3,2301,4306,267,499,10,13,False,False,False,False
2026-05-07T11:23:42.805421+00:00,XAtcOrOAaIk,873,81,2,1673,2546,155,236,2,4,False,False,False,False
2026-05-07T11:23:42.805421+00:00,iuo88mIjzbk,740,106,0,1690,2430,196,302,2,2,False,False,False,False
2026-05-07T11:23:42.805421+00:00,MANsPvLwJs0,1299,156,4,1795,3094,162,318,3,7,False,False,False,False
2026-05-07T11:23:42.805421+00:00,1THq9IwaDm0,1073,68,1,2569,3642,189,257,7,8,False,False,False,False
2026-05-07T11:23:42.805421+00:00,wvdEIXEsnNg,494,65,2,1477,1971,122,187,1,3,False,False,False,False
2026-05-07T11:23:42.805421+00:00,eQzS6CUt7kU,1578,123,3,3773,5351,373,496,9,12,False,False,False,False
2026-05-07T11:23:42.805421+00:00,oJI4o2LgAzY,14920,923,25,2745,17665,284,1207,19,44,False,False,False,False
2026-05-07T11:23:42.805421+00:00,j_dyQn_4l44,6305,192,34,2558,8863,241,433,9,43,False,False,False,False
2026-05-07T11:23:42.805421+00:00,_AqBNvs7ko8,3820,225,3,1702,5522,175,400,2,5,False,False,False,False
2026-05-07T11:23:42.805421+00:00,CBxCE4fVpt4,8408,330,12,8043,16451,687,1017,42,54,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Z-XHhcFemnk,17174,1181,14,21702,38876,2154,3335,74,88,False,False,False,False
2026-05-07T11:23:42.805421+00:00,VCFDGjCcWZs,58245,2169,11,61728,119973,5207,7376,65,76,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Kx0v4IeR-1s,2040,142,1,548,2588,39,181,1,2,False,False,False,False
2026-05-07T11:23:42.805421+00:00,p7K3xfViWCE,28587,1320,101,62625,91212,4105,5425,336,437,False,False,True,False
2026-05-07T11:23:42.805421+00:00,dp2_5avL0dM,167,4,0,108,275,7,11,0,0,False,False,False,False
2026-05-07T11:23:42.805421+00:00,DDUq10BCIHc,67,3,0,169,236,10,13,0,0,False,False,False,False
2026-05-07T11:23:42.805421+00:00,2dTKyxqxca0,139,1,0,247,386,8,9,0,0,False,False,False,False
2026-05-07T11:23:42.805421+00:00,xLEEiMWgp-E,1091,42,3,2808,3899,184,226,7,10,False,False,False,False
