content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
shorts,LUwcNJyBX7g,35.5471,24.9301,3.61e-05,4297,51.4726,high
shorts,AuE0FsEHA4o,35.5451,59.2418,0.01356603,2334,0.0,
shorts,4iXwPD-VHyg,35.5346,59.2243,0.01352678,2335,0.0,
shorts,SffUkLCitvA,35.5241,59.2068,0.01349311,2336,0.0,
shorts,eFH8u-_SAGk,35.5136,59.1894,0.01347469,2337,0.0,
shorts,5ELYzsW9LaE,35.5031,59.1719,0.01346618,2338,0.0,
shorts,3qKQyD4EIns,35.5012,9.3291,2.2e-07,5190,74.7594,high
shorts,xaiBp20c-pA,35.4926,59.1544,0.0134653,2339,0.0,
shorts,2mp70Gj2-a8,35.4822,59.137,0.01340844,2340,0.0,
shorts,kyo1Q30TKes,35.4717,59.1195,0.0132515,2341,0.0,
shorts,sWiUcaj0EjA,35.4596,17.2257,7.25e-06,4739,62.8105,high
shorts,aZeRWU_-514,35.4508,59.0846,0.01323912,2343,0.0,
shorts,6YMEJ_Fs8Bo,35.4403,59.0671,0.01323631,2344,0.0,
shorts,pWJ0RKNPE2A,35.4298,59.0496,0.01317054,2345,0.0,
shorts,gmeYA3hOMfA,35.4291,16.8414,6.49e-06,4761,63.3107,high
shorts,FR0dQUYL-ZY,35.4193,59.0321,0.01312972,2346,0.0,
shorts,o63YHARQLfE,35.4088,59.0147,0.01309417,2347,0.0,
shorts,7YTMLEzOyD0,35.3969,14.9546,3.13e-06,4869,66.0603,high
shorts,GQQyi1bLArA,35.3878,58.9797,0.01297144,2349,0.0,
shorts,8yvfUzJSrmc,35.3774,58.9623,0.01295881,2350,0.0,
shorts,ILd7Ln1vrac,35.3669,58.9448,0.01291306,2351,0.0,
shorts,Bi1L5CCl4BA,35.3564,58.9273,0.01283534,2352,0.0,
shorts,H4T7lMCGcM0,35.3459,58.9099,0.01281743,2353,0.0,
shorts,9UaAU6SwjFw,35.3354,58.8924,0.01273516,2354,0.0,
shorts,LraNc4jYTOg,35.3249,58.8749,0.01271985,2355,0.0,
shorts,7K2QvYd28SY,35.3166,20.0734,1.482e-05,4575,58.1814,high
shorts,7UsNBi8sGGk,35.3147,19.8812,1.418e-05,4587,58.465,high
shorts,F2sbrvyn0OM,35.3144,58.8574,0.01271915,2356,0.0,
shorts,qVGnZhwKVHg,35.304,58.84,0.012638,2357,0.0,
shorts,LJZarKaGqM0,35.2935,58.8225,0.01263185,2358,0.0,
shorts,vkZwCV5jzBM,35.2726,58.7876,0.01246106,2360,0.0,
shorts,pw9A10pI8js,35.2621,58.7701,0.01237934,2361,0.0,
shorts,JDkbvAGZWAw,35.259,17.1034,6.98e-06,4746,62.4924,high
shorts,sLZDxyQNlrI,35.2516,58.7526,0.01236096,2362,0.0,
shorts,hCNT8hK1T98,35.2381,16.0203,5.15e-06,4808,64.0649,high
shorts,L_qkNZVqgRI,35.2201,58.7002,0.01229267,2365,0.0,
shorts,aNlO4mUdETE,35.2096,58.6827,0.01224046,2366,0.0,
shorts,c5I1eb1iGSU,35.1992,58.6653,0.01223946,2367,0.0,
shorts,p21gS-4c14M,35.1887,58.6478,0.01222041,2368,0.0,
shorts,NyPhFFftrxg,35.1782,58.6303,0.01218353,2369,0.0,
shorts,Q9sgVUQz2Ag,35.1572,58.5954,0.01211572,2371,0.0,
shorts,B9vcdRD9t6g,35.1531,18.7631,1.097e-05,4652,59.7381,high
shorts,f2AnMgxiFuw,35.1362,58.5604,0.01204866,2373,0.0,
shorts,yQitvUxvzz8,35.1359,25.2621,3.962e-05,4279,49.9467,high
shorts,HjGxsSeQT-E,35.1309,9.4689,2.3e-07,5182,73.624,high
