video_id,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20
Su0aCV35IFM,0.01041713,0.00716243,0.03382068,0.01784694,-0.02015601,0.27059241,-0.09955504,0.0509304,0.00967748,0.08927003,0.07889114,0.02944055,0.07964742,0.04488626,0.33223271,-0.03310227,-0.07815034,-0.14385884,0.08593434,-0.0371334
WgcdDVIUXcI,0.0462285,0.03590295,0.06591129,0.04479844,-0.07747929,0.02350526,0.06057982,-0.04961639,0.0387078,0.02867354,-0.04968472,-0.06138774,0.02581323,-0.01141092,-0.05436431,-0.11199322,-0.07634495,-0.12711868,-0.04109423,0.0215801
xjcVnFd-4YA,0.0150152,0.00812294,0.01840149,0.01371477,-0.02116081,0.01998337,0.00151851,-0.01802198,-0.00205218,-0.0060214,-0.00010285,0.02088318,-9.031e-05,0.00528954,-0.0004439,-0.00405257,0.0209607,-0.00912689,0.00471365,-0.01689728
75QtulYanTE,0.01409471,0.00638454,0.03298271,0.01373672,-0.02108136,0.17503946,-0.06862331,0.03983881,-0.012198,-0.03627884,-0.0105634,-0.02785762,0.08909626,-0.01677526,0.05821949,-0.10523579,0.02094641,0.20021284,-0.12378105,-0.08844239
FCaTFLdtsco,0.02537542,0.02102208,0.05051243,0.02193005,-0.01906233,0.32120643,-0.11237179,0.05387563,0.00473857,0.05545846,0.04244294,0.01612249,0.07504278,0.03830028,0.22982081,-0.03565617,-0.05785571,-0.10927396,0.06209479,-0.10701461
pUlUgkaTQZg,0.00889945,0.00467835,0.03330132,0.02751667,-0.01532648,0.20196833,-0.06400625,0.02212593,-5.613e-05,-0.02154444,0.00270823,-0.00504984,-0.01379746,-0.00954222,-0.08414115,-0.0243291,-0.05725282,0.03435278,0.01777036,-0.07078004
r79B-_e2v-s,0.04189752,-0.0059727,0.05726402,0.12589274,0.08149187,0.02677133,0.0013631,-0.02954323,0.01292557,0.04885674,-0.0025855,0.00796106,-0.01049444,0.01020172,-0.04029414,-0.00751693,-0.00364979,0.00927075,-0.00214273,-0.00967043
fuxYQrqkfns,2.135e-05,2.651e-05,5.319e-05,2.85e-05,-5.791e-05,8.654e-05,5.027e-05,-0.00020397,9.548e-05,-5.4e-05,-0.00032063,-0.00041839,-7.765e-05,-0.0004444,0.00035282,0.00022857,0.00023391,4.323e-05,6.317e-05,0.00016813
PnpHwhTWw0c,0.02427866,0.02200438,0.04172929,0.0147301,-0.01679809,0.14075363,-0.05114784,0.01843493,-0.01574747,-0.05177465,-0.04595299,-0.04251319,-0.01664263,-0.01095009,-0.10964141,0.02539922,0.00498047,-0.04701222,0.0037598,0.03605532
eOI7WQIEX1Y,0.04780776,0.05734409,0.05496613,0.02352282,-0.04242863,0.02604779,0.03190842,-0.07936905,0.00956553,-0.00213024,-0.00282992,0.00992096,-0.09291181,0.03907386,0.01061889,-0.00502966,0.01824882,0.00954146,-0.0411262,-0.02454377
NOv3U3ZUiro,0.06247554,0.00410085,0.0891373,-0.00612136,-0.0265105,0.00419511,0.01798749,-0.04184809,-0.0360395,0.00721869,0.00629332,0.01260409,-0.02268995,-0.03606837,0.02718322,-0.02319475,-0.0518714,0.01911938,0.11161458,-0.01592552
mpZK1dqX6aA,0.00137211,0.00125854,0.00270834,0.00200958,-0.00183114,0.01272093,-0.00257169,-0.00252981,-4.814e-05,-0.00307005,-0.00194797,9.29e-06,0.00515208,0.00358067,0.00449692,-0.00956572,-0.00242393,0.00718958,-0.00172423,-0.0057187
suqYhItddAc,0.01343942,0.00538224,0.02416606,0.01465563,-0.02137926,0.11672899,-0.0353282,0.0103076,-0.00138707,-0.02844446,-0.01070325,-0.01526472,-0.00542529,-0.02665921,0.05553692,0.0234983,0.04364655,0.03435857,-0.00284618,0.01729384
tkLxg6h07aE,0.03141846,0.01118713,0.0578715,0.05298232,-0.03615337,0.36292716,-0.07831861,-0.02556564,0.11892285,0.83765064,0.19359744,0.10294858,-0.0066256,0.03880489,-0.11444648,0.08281074,0.0543109,0.02155618,-0.05381589,0.08797252
OEtIq4tR1rA,0.00992701,0.00436471,0.02973524,0.01872513,-0.02736586,0.10697045,-0.02655634,0.01895019,-0.01457983,-0.05199393,-0.02141932,-0.00375755,-0.01298599,-0.02122816,-0.10209935,-0.00269397,-0.03160322,0.01271213,-0.0198242,-0.08929022
U5l0Z8T4tCk,0.00152239,0.00177156,0.00405785,0.00529661,0.00243159,0.00329697,-6.828e-05,-0.00515638,0.00030629,0.00317974,0.00149957,0.0017369,-0.00547173,-0.00180298,-0.00392065,-0.00193087,0.00454712,0.00171778,-0.01076584,-0.0093768
ExlWYbISs6I,0.01714255,0.0048262,0.04903534,0.03406806,-0.03301377,0.20407833,-0.06754346,0.0160215,-0.0168043,-0.07107884,-0.05065521,-0.01754544,-0.03993456,-0.04340521,0.08450672,0.03645991,0.14282057,0.14478129,-0.00565792,-0.02874231
iBpxQpktHN4,0.00326026,0.00015108,0.00841005,0.00534621,-0.0094628,0.0286799,-0.01668262,0.01644733,-0.00666833,0.00825333,-0.01772803,-0.00543039,0.00533068,-0.01360403,-0.04366539,-0.01539315,-0.00886648,0.04471152,-0.01165988,-0.00971501
tpay1lEGZ7g,0.05890753,0.01352382,0.11273934,0.07704847,-0.09709434,-0.01050281,0.00048554,-0.07886456,-0.01137697,-0.03722486,0.10411992,-0.04604792,-0.01194002,-0.04007691,0.01226159,0.13221615,-0.07000634,0.02249391,0.03713762,0.04212517
PoHZWjU54jY,0.01445081,0.01903643,0.0188987,0.0107588,-0.00606341,0.18578751,-0.06724171,0.0339959,0.00681766,0.07585148,0.05868329,0.01709354,0.06332654,0.02626397,0.23101612,-0.01899702,-0.0312444,-0.09518845,0.05621924,-0.05412705
